电子企业精益化管理工具箱,齐忠玉,人民邮电出版社,2009,63,F
精益生产实施流程与细化工具,陆君伟,人民邮电出版社,2009,33,F
保罗·克鲁格曼,黄基伟,人民邮电出版社,2009,22,F
WCF3.5揭秘,麦克默特里,人民邮电出版社,2009,79,T
Windows命令行详解手册,施塔内克,人民邮电出版社,2009,59,T
计算机科学概论,布鲁克希尔,人民邮电出版社,2009,59,T
TD-SCDMA及其增强和演进技术,王亚峰,人民邮电出版社,2009,49,T
Spring高级程序设计,马哈切克,人民邮电出版社,2009,99,T
物流业务招投标实战指南,石文庆,人民邮电出版社,2009,35,F
通用汽车百年兴衰,全琳琛,人民邮电出版社,2009,28,F
看透庄家玄机,付刚,人民邮电出版社,2009,25,F
药理学,约翰逊,人民卫生出版社,2009,36,R
肺癌化疗和靶向治疗,廖美琳,人民卫生出版社,2009,24,R
常用中药药对分析与应用,李贵海,人民卫生出版社,2009,45,R
工程机械CAD应用技术,储伟俊,国防工业出版社,2008,50,T
机械设计,谢江,国防工业出版社,2009,40,T
S7-200PLC与数字调速系统的原理及应用,马秀坤,国防工业出版社,2009,42,T
金属腐蚀显微组织图谱,韩顺昌,国防工业出版社,2008,150,T
机械可靠性设计,刘混举,国防工业出版社,2009,28,T
航天测量船测控通信设备船摇稳定技术,瞿元新,国防工业出版社,2009,32,U
航天测量船气象保障技术,陈信雄,国防工业出版社,2009,32,U
数控加工工艺与编程,于杰,国防工业出版社,2009,32,T
液压与气动技术,简引霞,国防工业出版社,2009,25,T
舰船制冷与空调,吴钢,国防工业出版社,2009,32,U
固体推进剂技术及纳米材料的应用,李凤生,国防工业出版社,2008,45,V
软件工程,肖汉,国防工业出版社,2009,39,T
液压与气动传动,石望远,国防工业出版社,2009,36,T
人工智能及其应用,王宏生,国防工业出版社,2009,34,T
船舶与海洋平台结构,杨永祥,国防工业出版社,2008,32,U
人机环境工程,吴青,国防工业出版社,2009,45,T
光电子器件,汪贵华,国防工业出版社,2009,32,T
ANSYS11.0有限元分析入门与提高,胡国良,国防工业出版社,2009,40,O
工程技术实践,蔡安江,国防工业出版社,2009,25,T
机械原理,高慧琴,国防工业出版社,2009,32,T
看图学基于MastercamX塑料模具设计与数控加工,吴光明,国防工业出版社,2009,42,T
超重力化工过程与技术,刘有智,国防工业出版社,2009,68,T
大学物理实验,申志荣,国防工业出版社,2009,26,O
数控技术及其应用,陈德道,国防工业出版社,2009,32,T
化工原理,张洪流,国防工业出版社,2009,55,T
工程数学,付立志,国防工业出版社,2009,22,T
AVR单片机原理及应用,于正林,国防工业出版社,2009,38,T
高性能船舶原理与设计,赵连恩,国防工业出版社,2009,72,U
空化泡和超空化泡流动理论及应用,王献孚,国防工业出版社,2009,29,O
舰船动力装置原理,曾凡明,国防工业出版社,2009,30,U
机械设计实践与创新,王世刚,国防工业出版社,2009,35,T
矢量声信号处理基础,惠俊英,国防工业出版社,2009,15,T
Matlab7.6图形图像处理,王家文,国防工业出版社,2009,43,T
化工环境科学与安全技术,贾素云,国防工业出版社,2009,29,X
精细化工实验,李浙齐,国防工业出版社,2009,25,T
考研微积分500例,许洪范,国防工业出版社,2009,32,O
棱镜反射光技术与工程应用,张志伟,国防工业出版社,2009,19,T
大学物理实验,陈国杰,国防工业出版社,2009,23,O
公差与技术测量,杨好学,国防工业出版社,2009,26,T
泵与风机系统的能量学和经济性分析,陆肇达,国防工业出版社,2009,26,T
氮丙啶化合物化学及其应用,王学武,国防工业出版社,2009,118,O
EDA技术基础教程,李建兵,国防工业出版社,2009,35,T
电磁泵铸造技术及应用,刘云,国防工业出版社,2009,29,T
操纵物理仪器获取实验方法,孙晶华,国防工业出版社,2009,38.8,O
算法设计与分析,张德富,国防工业出版社,2009,36,T
内燃机动力学,张保成,国防工业出版社,2009,23,T
数控机床故障诊断与维修,罗庚合,国防工业出版社,2009,38,T
数学物理方程,李汉龙,国防工业出版社,2009,35,O
舰艇作战软件系统工程管理,赵晓哲,国防工业出版社,2009,48,U
自然科学与高新技术,吴青,国防工业出版社,2009,40,N
大学物理实验,苏学军,国防工业出版社,2009,38,O
数控车床加工实训教程,李泷,国防工业出版社,2009,22,T
气体动力学,何立明,国防工业出版社,2009,52,O
物理光学基础,郑少波,国防工业出版社,2009,32,O
聂荣臻的军事思想与实践研究,吴家华,国防工业出版社,2009,58,E
无机化学,吴文伟,国防工业出版社,2009,41,O
数控原理与数控机床,刘坚,国防工业出版社,2009,27,T
聂荣臻的科技思想与实践研究,陈洪,国防工业出版社,2009,52,G
机械工程测试技术,唐景林,国防工业出版社,2009,19,T
高等代数考点综述与问题探讨,严谦泰,国防工业出版社,2009,32,O
画法几何与土木工程制图,刘勇,国防工业出版社,2009,38,T
英语专业新题型巅峰突破,史志康,外文出版社,2008,24,H
基础德语听力速成,刘静,外文出版社,2009,28,H
基础德语口语速成,杨爱珍,外文出版社,2009,30,H
精通正则表达式,弗里德尔,电子工业出版社,2007,75,T
J2ME应用开发详解,陆昌辉,电子工业出版社,2009,36,T
RubyProgramming,高桥征义,电子工业出版社,2009,42,T
实用电子元器件与电路基础,舍茨,电子工业出版社,2009,79,T
ASP动态网站设计完整实例详解,王勇,电子工业出版社,2009,39,T
完全精通Pro/ENGINEER野火4.0中文版综合教程,林清安,电子工业出版社,2009,54.9,T
Linux系统架构与目录解析,邱世华,电子工业出版社,2009,45,T
VisualC++串口通信开发入门与编程实践,周韧研,电子工业出版社,2009,55,T
Oracle11g数据库系统设计、开发、管理与应用,冯向科,电子工业出版社,2009,59,T
C语言宝典,迟剑,电子工业出版社,2009,89,T
我的Flex我精通,李庆,电子工业出版社,2009,69.8,T
网络渗透攻击与安防修炼,肖遥,电子工业出版社,2009,79,T
J2EE应用开发详解,罗玉玲,电子工业出版社,2009,55,T
DreamweaverCS3网站建设与网页制作案例指导,徐武,电子工业出版社,2009,58,T
ASP.NET3.5动态网站开发案例指导,王改性,电子工业出版社,2009,55,T
在实战中成长,于翔,电子工业出版社,2009,52,T
Word排版之道,宋翔,电子工业出版社,2009,55,T
PhotoshopCS4中文版标准培训教程,曹天佑,电子工业出版社,2009,39,T
21天学通JavaWeb开发,卜炟,电子工业出版社,2009,49.8,T
PIC微控制器技术及应用,加西奥,电子工业出版社,2009,88,T
高性能混合信号ARM,李刚,电子工业出版社,2009,39,T
XQuery权威指南,沃姆斯利,电子工业出版社,2009,88,T
疯狂Ajax讲义,李刚,电子工业出版社,2009,69,T
Orange'S,于渊,电子工业出版社,2009,69,T
网管员世界2009超值精华本,网管员世界杂志社,电子工业出版社,2009,65,T
Apache源代码全景分析,张中庆,电子工业出版社,2009,88,T
VisualStudioTeamSystem更佳敏捷软件开发,斯托特,电子工业出版社,2009,98,T
WindowsServer2008天魔降伏TOP46诀,顾武雄,电子工业出版社,2009,59,T
亮剑.NET,缪勇,电子工业出版社,2009,69,T
终端安全,卡德里奇,电子工业出版社,2009,49,T
ColdFusion8标准指南,伏特,电子工业出版社,2009,89,T
C语言开发技术详解,戴建华,电子工业出版社,2009,66,T
深入搜索引擎,威滕,电子工业出版社,2009,79,G
iLike苹果FinalCutPro6中文版非线性编辑,郭圣路,电子工业出版社,2009,55,T
亮剑.NET,李天平,电子工业出版社,2009,79,T
实战OpenGL三维可视化系统开发与源码精解,吕希奎,电子工业出版社,2009,69.5,T
ARM嵌入式应用开发完全自学手册,张绮文,电子工业出版社,2009,55,T
独辟蹊径品内核,李云华,电子工业出版社,2009,65,T
ASP动态网站开发案例指导,张喜平,电子工业出版社,2009,55,T
HTML网页设计案例指导,方强,电子工业出版社,2009,55,T
把脉VC++,白乔,电子工业出版社,2009,69.5,T
Web璀璨,张驰清,电子工业出版社,2009,46,T
通信工程专业实用英语,陶亚雄,电子工业出版社,2009,38,H
开关电源SPICE仿真与实用设计,巴索,电子工业出版社,2009,85,T
琢石成器,罗云彬,电子工业出版社,2009,89,T
Java宝典,孙浏毅,电子工业出版社,2009,98,T
西门子PLC常用模块与工业系统设计实例精讲,马丁,电子工业出版社,2009,55,T
Pro/MOLDESIGNWidfire4.0拆模设计,二代龙震工作室,电子工业出版社,2009,55,T
企业级虚拟机应用实战,胡嘉玺,电子工业出版社,2009,79,T
单片机C语言程序设计实训100例,彭伟,电子工业出版社,2009,45,T
WiMAX技术、应用及网络规划,李劼,电子工业出版社,2009,39,T
亮剑.NET,李新峰,电子工业出版社,2009,69.5,T
DynamicHTML权威指南,古德曼,电子工业出版社,2009,99.8,T
UbuntuServer最佳方案,冷罡华,电子工业出版社,2009,55,T
MATLAB/Simulink通信系统建模与仿真实例精讲,邵佳,电子工业出版社,2009,49,T
DSP嵌入式常用模块与综合系统设计实例精讲,刘向宇,电子工业出版社,2009,55,T
精通MATLAB金融计算,金龙,电子工业出版社,2009,59,F
精通MATLAB图像处理,张强,电子工业出版社,2009,49,T
FreescaleFlexis系列微控制器入门及开发,陈奕梅,电子工业出版社,2009,43,T
SolidWorks机械设计实战教程,段建中,电子工业出版社,2009,33,T
寒江独钓,谭文,电子工业出版社,2009,75,T
MATLAB控制系统设计与仿真,张德丰,电子工业出版社,2009,42,T
LabVIEW编程样式,布卢姆,电子工业出版社,2009,45,T
MATLAB在电子信息工程中的应用,张德丰,电子工业出版社,2009,42,T
Multisim&Ultiboard10原理图与PCB设计,刘刚,电子工业出版社,2009,39,T
电子封装与互连手册,哈珀,电子工业出版社,2009,128,T
PHP开发入行真功夫,三扬科技,电子工业出版社,2009,59.8,T
交互式计算机图形学,安杰尔,电子工业出版社,2009,69,T
MATLAB程序设计与典型应用,张德丰,电子工业出版社,2009,39,T
分布式天线系统,胡宏林,电子工业出版社,2009,69,T
VisualC#2008大学教程,戴特尔,电子工业出版社,2009,105,T
CMOS数字集成电路,康,电子工业出版社,2009,55,T
纳电子器件及其应用,蔡理,电子工业出版社,2009,39,T
亮剑.NET,许清荣,电子工业出版社,2009,79,T
MicrosoftOfficeSharePointServer2007管理员指南,英格利希,电子工业出版社,2009,128,F
行政职业能力测验,崔斌,电子工业出版社,2009,52,D
公共基础知识,崔斌,电子工业出版社,2009,42,D
申论,崔斌,电子工业出版社,2009,36,D
MATLAB神经网络仿真与应用,张德丰,电子工业出版社,2009,39,T
半导体制造技术,夸克,电子工业出版社,2009,59,T
系统与服务监控技术实践,王淑江,电子工业出版社,2009,65,T
C/C++串口通信典型应用实例编程实践,曹卫彬,电子工业出版社,2009,48,T
MATLAB/Simulink建模与仿真,张德丰,电子工业出版社,2009,42,T
SPSS统计应用与解析,利琪,电子工业出版社,2009,38,C
30天学通VisualBasic项目案例开发,张宏,电子工业出版社,2009,59,T
30天学通JavaWeb项目案例开发,吴亚峰,电子工业出版社,2009,59,T
30天学通Java项目案例开发,吴亚峰,电子工业出版社,2009,59,T
30天学通VisualC++项目案例开发,胡超,电子工业出版社,2009,59,T
芯片及系统的电源完整性建模与设计,斯瓦米纳坦,电子工业出版社,2009,55,T
Protel99SE入门与提高,黎小桃,电子工业出版社,2009,36,T
编程大讲坛,管西京,电子工业出版社,2009,79.8,T
中国密码学发展报告,中国密码学会,电子工业出版社,2008,190,T
编程大讲坛,谭贞军,电子工业出版社,2009,59.8,T
ASP.NET夜话,周金桥,电子工业出版社,2009,59,T
编程大讲坛,薛小龙,电子工业出版社,2009,69.8,T
AVR单片机原理与应用实例,三恒星科技,电子工业出版社,2009,48,T
Pro/ENGINEERWildfire4.0中文版完全自学手册,架构科技,电子工业出版社,2009,59.8,T
Access2007财务与会计应用,起点文化,电子工业出版社,2009,59,F
AutoCAD2009中文版完全自学攻略,王瑞东,电子工业出版社,2009,59.9,T
电子技术专业英语教程,冯新宇,电子工业出版社,2009,33,H
Multisim10计算机仿真在电子电路设计中的应用,聂典,电子工业出版社,2009,59,T
Web界面设计,斯科特,电子工业出版社,2009,80,T
测试有道,梁博,电子工业版社,2009,45,T
模拟集成电路原理与应用,王可恕,电子工业出版社,2009,68,T
基于32位ColdFire构建嵌入式系统,王宜怀,电子工业出版社,2009,59,T
Web开发新体验,龚赤兵,电子工业出版社,2009,69.5,T
Java高手真经,刘中兵Java研究室,电子工业出版社,2009,79.8,T
实例解读电子元器件与电路设计,杨欣,电子工业出版社,2009,39,T
ColdFusion8标准指南,伏特,电子工业出版社,2009,99,T
iLife'09,科恩,电子工业出版社,2009,98.8,T
iWork'09,哈林顿,电子工业出版社,2009,96.8,T
ADIDSP应用技术集锦,刘书明,电子工业出版社,2009,48,T
DreamweaverCS4中文版完全自学攻略,李继先,电子工业出版社,2009,65,T
